Titlu,Are reducere,Reducere,Pret actual,Pret vechi,Status produs,Link produs,Specificatii produs
Laptop DELL Inspiron 5770,DA,400 lei,4599.9 lei,"4.999,90 lei",In Stoc,https://altex.ro/laptop-dell-inspiron-5770-intelr-coretm-i7-8550u-pana-la-4-0ghz-17-3-full-hd-16gb-2tb-ssd-256gb-amd-radeon-530-4gb-ubuntu/cpd/LAP57708582/,"Procesor Intel® Core™ i7-8550U pana la 4.0GHz, 17.3"" Full HD, 16GB, 2TB + SSD 256GB, AMD Radeon 530 4GB, Ubuntu"
Laptop Gaming ASUS FX504GE-EN150,DA,700 lei,4599.9 lei,"5.299,90 lei",In Stoc,https://altex.ro/laptop-gaming-asus-fx504ge-en150-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-hdd-1tb-ssd-128gb-nvidia-geforce-gtx-1050-ti-4gb-free-dos/cpd/LAPFX504GEEN150/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, HDD 1TB + SSD 128GB, NVIDIA GeForce GTX 1050 Ti 4GB, Free Dos"
Laptop APPLE MacBook Air mqd32ro/a,DA,300 lei,4499.9 lei,"4.799,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-air-mqd32ro-a-intelr-coretm-i5-pana-la-2-9ghz-13-3-8gb-128gb-intel-hd-graphics-6000-macos-sierra-tastatura-layout-ro/cpd/LAPMQD32ROA/,"Procesor Intel® Core™ i5 pana la 2.9GHz, 13.3"", 8GB, 128GB, Intel HD Graphics 6000, macOS Sierra  - Tastatura layout RO"
Laptop APPLE MacBook Air mqd32ze/a,DA,300 lei,4499.9 lei,"4.799,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-air-mqd32ze-a-intelr-coretm-i5-pana-la-2-9ghz-13-3-8gb-128gb-intel-hd-graphics-6000-macos-sierra-tastatura-layout-int/cpd/LAPMQD32ZEA/,"Procesor Intel® Core™ i5 pana la 2.9GHz, 13.3"", 8GB, 128GB, Intel HD Graphics 6000, macOS Sierra  - Tastatura layout INT"
Laptop 2 in 1 HP Pavilion x360 15-cr0027nq,DA,300 lei,3699.9 lei,"3.999,90 lei",In Stoc,https://altex.ro/laptop-2-in-1-hp-pavilion-x360-15-cr0027nq-intel-core-i5-8250u-pana-la-3-4ghz-15-6-full-hd-touch-6gb-1tb-intel-optane-16gb-amd-radeon-530-2gb-windows-10-home/cpd/TPC4DF32EA/,"Procesor Intel Core i5-8250U pana la 3.4GHz, 15.6"" Full HD Touch, 6GB, 1TB + Intel Optane 16GB, AMD Radeon 530 2GB, Windows 10 Home"
Laptop DELL Latitude 5490,DA,399 lei,3699.9 lei,"4.099,90 lei",In Stoc,https://altex.ro/laptop-dell-latitude-5490-intelr-coretm-i5-8250u-pana-la-3-4ghz-14-full-hd-8gb-ssd-256gb-intelr-uhd-graphics-620-ubuntu/cpd/LAP54904901/,"Procesor Intel® Core™ i5-8250U pana la 3.4GHz, 14"" Full HD, 8GB, SSD 256GB, Intel® UHD Graphics 620, Ubuntu"
Laptop ACER Nitro 5 AN515-42-R8VD,DA,600 lei,2999.9 lei,"3.599,90 lei",In Stoc,https://altex.ro/laptop-acer-nitro-5-an515-42-r8vd-amd-ryzentm-7-2700u-pana-la-3-8ghz-15-6-full-hd-8gb-1tb-amd-radeontm-rx-560x-4gb-linux/cpd/LAPNHQ3REX005/,"Procesor AMD Ryzen™ 7 2700U pana la 3.8GHz, 15.6"" Full HD, 8GB, 1TB, AMD Radeon™ RX 560X 4GB, Linux"
Laptop ASUS ZenBook UX430UA-GV183T,DA,800 lei,2999.9 lei,"3.799,90 lei",In Stoc,https://altex.ro/laptop-asus-zenbook-ux430ua-gv183t-intelr-coretm-i5-7200u-pana-la-3-1ghz-14-full-hd-4gb-ssd-256gb-intelr-hd-graphics-620-windows-10/cpd/LAPUX430UAGV183/,"Procesor Intel® Core™ i5-7200U pana la 3.1GHz, 14"" Full HD, 4GB, SSD 256GB, Intel® HD Graphics 620, Windows 10"
Laptop LENOVO IdeaPad 520-15IKB,DA,200 lei,2999.9 lei,"3.199,90 lei",In Stoc,https://altex.ro/laptop-lenovo-ideapad-520-15ikb-intelr-coretm-i5-8250u-pana-la-3-4ghz-15-6-full-hd-8gb-1tb-ssd-128gb-nvidia-geforce-mx150-4gb-free-dos/cpd/LAP81BF009TRI/,"Procesor Intel® Core™ i5-8250U pana la 3.4Ghz, 15.6"" Full HD, 8GB, 1TB + SSD 128GB, NVIDIA GeForce MX150 4GB, Free Dos"
Laptop HP 15-da0063nq,DA,300 lei,2899.9 lei,"3.199,90 lei",In Stoc,https://altex.ro/laptop-hp-15-da0063nq-intel-core-i3-8130u-pana-la-4ghz-15-6-full-hd-12gb-ram-16gb-intel-optane-1tb-hd-graphics-620-windows-10-home/cpd/LAP4UA85EA/,"Procesor Intel Core i3-8130U pana la 4GHz, 15.6"" Full HD, 12GB Ram + 16GB Intel Optane, 1TB, HD Graphics 620, Windows 10 Home"
Laptop DELL Inspiron 3576,DA,300 lei,2799.9 lei,"3.099,90 lei",In Stoc,https://altex.ro/laptop-dell-inspiron-3576-intel-core-i5-8250-pana-la-3-4ghz-15-6-full-hd-8gb-ssd-256gb-amd-radeon-520-2gb-ubuntu-gri/cpd/LAP35766539/,"Procesor Intel Core i5-8250 pana la 3.4GHz, 15.6"" Full HD, 8GB, SSD 256GB, AMD Radeon 520 2GB, Ubuntu, gri"
Laptop HP 15-db0043nq,DA,300 lei,2699.9 lei,"2.999,90 lei",In Stoc,https://altex.ro/laptop-hp-15-db0043nq-amd-ryzen-3-2200u-pana-la-3-4ghz-15-6-full-hd-8gb-ssd-256gb-amd-radeon-530-2gb-windows-10-home/cpd/LAP4DF39EA/,"Procesor AMD Ryzen 3 2200U pana la 3.4GHz, 15.6"" Full HD, 8GB, SSD 256GB, AMD Radeon 530 2GB, Windows 10 Home"
Laptop LENOVO IdeaPad 330S-14IKB,DA,100 lei,2699.9 lei,"2.799,90 lei",In Stoc,https://altex.ro/laptop-lenovo-ideapad-330s-14ikb-intel-core-i5-8250u-pana-la-3-4ghz-14-full-hd-8gb-hdd-1tb-ssd-128gb-intel-uhd-graphics-620-free-dos/cpd/TPC81F4007MRM/,"Procesor Intel Core i5-8250U pana la 3.4GHz, 14"" Full HD, 8GB, HDD 1TB + SSD 128GB, Intel UHD Graphics 620, Free Dos"
Laptop ASUS VivoBook S14 S410UA-EB017,DA,400 lei,2499.9 lei,"2.899,90 lei",In Stoc,https://altex.ro/laptop-asus-vivobook-s14-s410ua-eb017-intelr-coretm-i5-8250u-pana-la-3-4ghz-14-full-hd-4gb-hdd-500gb-ssd-128gb-intelr-uhd-graphics-620-endless/cpd/LAPS410UAEB017/,"Procesor Intel® Core™ i5-8250U pana la 3.4GHz, 14"" Full HD, 4GB, HDD 500GB + SSD 128GB, Intel® UHD Graphics 620, Endless"
Laptop LENOVO V130-15IKB,DA,200 lei,2399.9 lei,"2.599,90 lei",In Stoc,https://altex.ro/laptop-lenovo-v130-15ikb-intelr-coretm-i5-7200u-pana-la-3-1ghz-15-6-full-hd-8gb-ssd-256gb-intelr-hd-graphics-620-free-dos/cpd/LAP81HN00EWRI/,"Procesor Intel® Core™ i5-7200U pana la 3.1GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel® HD Graphics 620, Free Dos"
Laptop Lenovo IdeaPad 320-15IKB,DA,400 lei,2199.9 lei,"2.599,90 lei",In Stoc,https://altex.ro/laptop-lenovo-ideapad-320-15ikb-intelr-coretm-i5-7200u-pana-la-3-1ghz-15-6-full-hd-4gb-1tb-intelr-hd-graphics-620-windows-10-home/cpd/LAP80XL00E7RI/,"Procesor Intel® Core™ i5-7200U pana la 3.1Ghz, 15.6"" Full HD, 4GB, 1TB, Intel® HD Graphics 620, Windows 10 Home"
Laptop HP 15-da0009nq,DA,400 lei,2099.9 lei,"2.499,90 lei",In Stoc,https://altex.ro/laptop-hp-15-da0009nq-intel-core-i3-7020u-2-3ghz-15-6-full-hd-8gb-1tb-nvidia-geforce-mx110-2gb-free-dos/cpd/LAP4DJ10EA/,"Procesor Intel Core i3-7020U 2.3GHz, 15.6"" Full HD, 8GB, 1TB, NVIDIA GeForce MX110 2GB, Free Dos"
Laptop HP 15-da0136nq,DA,450 lei,2049.9 lei,"2.499,90 lei",In Stoc,https://altex.ro/laptop-hp-15-da0136nq-intel-core-i3-7100u-2-4ghz-15-6-full-hd-4gb-ssd-256gb-intel-hd-graphics-620-windows-10-home/cpd/LAP5ES46EA/,"Procesor Intel Core i3-7100U 2.4GHz, 15.6"" Full HD, 4GB, SSD 256GB, Intel HD Graphics 620, Windows 10 Home"
Laptop ASUS X542UA-DM444R,DA,20%,1999.92 lei,"2.499,90 lei",In Stoc,https://altex.ro/laptop-asus-x542ua-dm444r-intel-core-i3-7100u-2-4ghz-15-6-full-hd-4gb-500gb-intel-hd-graphics-620-windows-10-pro/cpd/LAPX542UADM444R/,"Procesor Intel Core i3-7100U 2.4GHz, 15.6"" Full HD, 4GB, 500GB, Intel HD Graphics 620, Windows 10 Pro"
Laptop ASUS A541UA-GO1708T,DA,300 lei,1799.9 lei,"2.099,90 lei",In Stoc,https://altex.ro/laptop-asus-a541ua-go1708t-intelr-coretm-i3-7100u-2-4ghz-15-6-4gb-500gb-intelr-hd-graphics-620-windows-10/cpd/LAPA541UAGO1708/,"Procesor Intel® Core™ i3-7100U 2.4GHz, 15.6"", 4GB, 500GB, Intel® HD Graphics 620, Windows 10"
Laptop HP 250 G6,DA,23%,1693.92 lei,"2.199,90 lei",In Stoc,https://altex.ro/laptop-hp-250-g6-intel-core-i3-7020u-2-3ghz-15-6-hd-4gb-ssd-256gb-intel-hd-graphics-620-free-dos/cpd/LAP3VK28EA/,"Procesor Intel Core i3-7020U 2.3GHz, 15.6"" HD, 4GB, SSD 256GB, Intel HD Graphics 620, Free Dos"
Laptop 2 in 1 ACER Spin SP111-32N-C6LG,NU,,1449.9 lei,,In Stoc,https://altex.ro/laptop-2-in-1-acer-spin-sp111-32n-c6lg-intel-celeron-n3350-pana-la-2-4ghz-11-6-full-hd-4gb-emmc-64gb-intel-hd-graphics-windows-10-s/cpd/TPCNXGRMEX008/,"Procesor Intel Celeron N3350 pana la 2.4GHz, 11.6"" Full HD, 4GB, eMMC 64GB, Intel HD Graphics, Windows 10 S"
Laptop ACER Swift 1 SF113-31-P5T1,DA,22%,1403.92 lei,"1.799,90 lei",In Stoc,https://altex.ro/laptop-acer-swift-1-sf113-31-p5t1-intel-pentium-n4200-pana-la-2-5ghz-13-full-hd-4gb-ssd-128gb-intel-hd-graphics-505-linux/cpd/LAPNXGNKEX002/,"Procesor Intel Pentium N4200 pana la 2.5GHz, 13"" Full HD, 4GB, SSD 128GB, Intel HD Graphics 505, Linux"
Laptop 2 in 1 MYRIA MY8312SV,DA,300 lei,1399.9 lei,"1.699,90 lei",In Stoc,https://altex.ro/laptop-2-in-1-myria-my8312sv-intel-pentium-n4200-pana-la-2-5ghz-13-3-touch-4gb-ssd-256gb-intelr-hd-graphics-free-dos/cpd/TPCMY8312SV/,"Procesor Intel Pentium N4200 pana la 2.5GHz, 13.3"" Touch, 4GB, SSD 256GB, Intel® HD Graphics, Free Dos"
Laptop DELL Inspiron 3573,DA,100 lei,1299.9 lei,"1.399,90 lei",In Stoc,https://altex.ro/laptop-dell-inspiron-3573-intelr-pentiumr-n5000-pana-la-2-7ghz-15-6-hd-4gb-500gb-intelr-uhd-graphics-605-ubuntu-gri/cpd/LAP35736461/,"Procesor Intel® Pentium® N5000 pana la 2.7GHz, 15.6"" HD, 4GB, 500GB, Intel® UHD Graphics 605, Ubuntu, gri"
Laptop ASUS A541SA-XX559T,DA,400 lei,1299.9 lei,"1.699,90 lei",In Stoc,https://altex.ro/laptop-asus-a541sa-xx559t-intelr-celeronr-n3060-pana-la-2-48ghz-15-6-hd-4gb-500gb-intelr-hd-graphics-400-windows-10/cpd/LAPA541SAXX559T/,"Procesor Intel® Celeron® N3060 pana la 2.48GHz, 15.6"" HD, 4GB, 500GB, Intel® HD Graphics 400, Windows 10"
Laptop LENOVO IdeaPad 330-15IGM,DA,150 lei,1249.9 lei,"1.399,90 lei",In Stoc,https://altex.ro/laptop-lenovo-ideapad-330-15igm-intel-pentium-n5000-pana-la-2-7ghz-15-6-hd-4gb-ssd-128gb-intel-uhd-graphics-605-free-dos-alb/cpd/LAP81D100FFRM/,"Procesor Intel Pentium N5000 pana la 2.7GHz, 15.6"" HD, 4GB, SSD 128GB, Intel UHD Graphics 605, Free Dos, alb"
Laptop ASUS X541NA-GO017,NU,,1199.9 lei,,In Stoc,https://altex.ro/laptop-asus-x541na-go017-intelr-celeronr-n3350-pana-la-2-4ghz-15-6-4gb-500gb-intelr-hd-graphics-500-endless-silver/cpd/LAPX541NAGO017/,"Procesor Intel® Celeron® N3350 pana la 2.4GHz, 15.6"", 4GB, 500GB, Intel® HD Graphics 500, Endless, Silver"
Laptop 2 in 1 ASUS Transformer Mini T102HA-GR046T,NU,,1199.9 lei,,In Stoc,https://altex.ro/laptop-2-in-1-asus-transformer-mini-t102ha-gr046t-intelr-atomtm-x5-z8350-pana-la-1-92ghz-10-1-touch-2gb-emmc-64gb-intelr-hd-graphics-400-windows-10/cpd/TPCT102HAGR046T/,"Procesor Intel® Atom™ x5-Z8350 pana la 1.92GHz, 10.1"" Touch, 2GB, eMMC 64GB, Intel® HD Graphics 400, Windows 10"
Laptop DELL Inspiron 3552,DA,50 lei,1099.9 lei,"1.149,90 lei",In Stoc,https://altex.ro/laptop-dell-inspiron-3552-intel-celeron-n3060-pana-la-2-48ghz-15-6-hd-4gb-500gb-intel-hd-graphics-ubuntu-negru/cpd/LAP3552-1436/,"Procesor Intel Celeron N3060 pana la 2.48GHz, 15.6"" HD, 4GB, 500GB, Intel HD Graphics, Ubuntu, negru"
Laptop ASUS X541NA-GO009,DA,50 lei,1099.9 lei,"1.149,90 lei",In Stoc,https://altex.ro/laptop-asus-x541na-go009-intelr-celeronr-n3350-pana-la-2-4ghz-15-6-4gb-500gb-intelr-hd-graphics-500-endless-red/cpd/LAPX541NAGO009/,"Procesor Intel® Celeron® N3350 pana la 2.4GHz, 15.6"", 4GB, 500GB, Intel® HD Graphics 500, Endless, Red"
Laptop ASUS X541NA-GO169,DA,23%,1000.92 lei,"1.299,90 lei",In Stoc,https://altex.ro/laptop-asus-x541na-go169-intel-celeron-n3350-pana-la-2-4ghz-15-6-hd-4gb-ssd-256gb-intel-hd-graphics-500-endless/cpd/LAPX541NAGO169/,"Procesor Intel Celeron N3350 pana la 2.4GHz, 15.6"" HD, 4GB, SSD 256GB, Intel HD Graphics 500, Endless"
Laptop MYRIA MY8311PK,DA,150 lei,849.9 lei,"999,90 lei",In Stoc,https://altex.ro/laptop-myria-my8311pk-intelr-celeronr-n4000-pana-la-2-4ghz-13-3-full-hd-ips-4gb-32gb-emmc-intelr-hd-graphics-600-windows-10-home/cpd/LAPMY8311PK/,"Procesor Intel® Celeron® N4000 pana la 2.4GHz, 13.3"" Full HD IPS, 4GB, 32GB eMMC, Intel® HD Graphics 600, Windows 10 Home"
Laptop Gaming ASUS ROG G703GI-E5047T,NU,,22399.9 lei,,In Stoc,https://altex.ro/laptop-gaming-asus-rog-g703gi-e5047t-intel-core-i9-8950hk-pana-la-4-8ghz-17-3-full-hd-64gb-sshd-2tb-ssd-2-x-512gb-nvidia-geforce-gtx1080-8gb-windows-10-home/cpd/LAPG703GIE5047T/,"Procesor Intel Core i9-8950HK pana la 4.8GHz, 17.3"" Full HD, 64GB, SSHD 2TB + SSD 2 x 512GB, NVIDIA GeForce GTX1080 8GB, Windows 10 Home"
Laptop Gaming ASUS ROG G703GI-E5046T,NU,,17999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-asus-rog-g703gi-e5046t-intel-core-i9-8950hk-pana-la-4-8ghz-17-3-full-hd-32gb-sshd-2tb-ssd-2-x-256gb-nvidia-geforce-gtx-1080-8gb-windows-10-home/cpd/LAPG703GIE5046T/,"Procesor Intel Core i9-8950HK pana la 4.8GHz, 17.3"" Full HD, 32GB, SSHD 2TB + SSD 2 x 256GB, NVIDIA GeForce GTX 1080 8GB, Windows 10 Home"
Laptop DELL XPS 9570,NU,,14499.9 lei,,In Stoc,https://altex.ro/laptop-dell-xps-9570-intel-core-i9-8950hk-pana-la-4-8ghz-15-6-ultra-hd-4k-touch-16gb-ssd-512gb-nvidia-geforce-gtx-1050-ti-4gb-windows-10-pro/cpd/TPC95706409/,"Procesor Intel Core i9-8950HK pana la 4.8GHz, 15.6"" Ultra HD 4K Touch, 16GB, SSD 512GB, NVIDIA GeForce GTX 1050 Ti 4GB, Windows 10 Pro"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mr972ro/a",DA,1500 lei,14499.9 lei,"15.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mr972ro-a-intel-core-i7-pana-la-4-3ghz-16gb-512gb-amd-radeon-pro-560x-4gb-macos-sierra-argintiu-tastatura-layout-ro/cpd/LAPMR972ROA/,"Procesor Intel Core i7 pana la 4.3GHz, 16GB, 512GB, AMD Radeon Pro 560X 4GB, macOS Sierra, Argintiu - Tastatura layout RO"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mr942ro/a",DA,1500 lei,14499.9 lei,"15.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mr942ro-a-intel-core-i7-pana-la-4-3ghz-16gb-512gb-amd-radeon-pro-560x-4gb-macos-sierra-space-gray-tastatura-layout-ro/cpd/LAPMR942ROA/,"Procesor Intel Core i7 pana la 4.3GHz, 16GB, 512GB, AMD Radeon Pro 560X 4GB, macOS Sierra, Space Gray - Tastatura layout RO"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mr942ze/a",DA,1500 lei,14499.9 lei,"15.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mr942ze-a-intel-core-i7-pana-la-4-3ghz-16gb-512gb-amd-radeon-pro-560x-4gb-macos-sierra-space-gray-tastatura-layout-int/cpd/LAPMR942ZEA/,"Procesor Intel Core i7 pana la 4.3GHz, 16GB, 512GB, AMD Radeon Pro 560X 4GB, macOS Sierra, Space Gray - Tastatura layout INT"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mr972ze/a",DA,1500 lei,14499.9 lei,"15.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mr972ze-a-intel-core-i7-pana-la-4-3ghz-16gb-512gb-amd-radeon-pro-560x-4gb-macos-sierra-argintiu-tastatura-layout-int/cpd/LAPMR972ZEA/,"Procesor Intel Core i7 pana la 4.3GHz, 16GB, 512GB, AMD Radeon Pro 560X 4GB, macOS Sierra, Argintiu - Tastatura layout INT"
Laptop Gaming HP OMEN X 17-ap001nn,NU,,13999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-hp-omen-x-17-ap001nn-intel-core-i7-7820hk-pana-la-3-9ghz-17-3-full-hd-16gb-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1080-8gb-windows-10-home/cpd/LAP2PJ77EA/,"Procesor Intel Core i7-7820HK pana la 3.9GHz, 17.3"" Full HD, 16GB, HDD 1TB + SSD 256GB, NVIDIA GeForce GTX 1080 8GB, Windows 10 Home"
Laptop ASUS ROG ZEPHYRUS GX501GI-EI007T,DA,1000 lei,13799.9 lei,"14.799,90 lei",In Stoc,https://altex.ro/laptop-asus-rog-zephyrus-gx501gi-ei007t-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-full-hd-24gb-ssd-1tb-nvidia-geforce-gtx-1080-8gb-windows-10-home/cpd/LAPGX501GIEI007/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" Full HD, 24GB, SSD 1TB, NVIDIA GeForce GTX 1080 8GB, Windows 10 Home"
Laptop DELL XPS 15 9575,DA,1000 lei,13499.9 lei,"14.499,90 lei",In Stoc,https://altex.ro/laptop-dell-xps-15-9575-intelr-coretm-i7-8705g-pana-la-4-1ghz-15-6-uhd-4k-touch-16gb-ssd-512gb-amd-radeon-rx-vega-m-4gb-windows-10-pro/cpd/TPC95756362/,"Procesor Intel® Core™ i7-8705G pana la 4.1GHz, 15.6"" UHD 4K Touch, 16GB, SSD 512GB, AMD Radeon RX Vega M 4GB, Windows 10 Pro"
Laptop LENOVO ThinkPad X1 Carbon Gen6,NU,,12999.9 lei,,In Stoc,https://altex.ro/laptop-lenovo-thinkpad-x1-carbon-gen6-intelr-coretm-i7-8550u-pana-la-4-0ghz-14-wqhd-16gb-ssd-1tb-intelr-uhd-graphics-620-windows-10-pro/cpd/LAP20KH006MRI/,"Procesor Intel® Core™ i7-8550U pana la 4.0GHz, 14"" WQHD, 16GB, SSD 1TB, Intel® UHD Graphics 620, Windows 10 Pro"
Laptop Gaming ASUS ROG G703GS-E5001T,NU,,12999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-asus-rog-g703gs-e5001t-intel-core-i7-8750h-pana-la-3-9ghz-17-3-full-hd-32gb-sshd-1tb-ssd-2-x-256gb-nvidia-geforce-gtx-1070-8gb-windows-10-home/cpd/LAPG703GSE5001T/,"Procesor Intel Core i7-8750H pana la 3.9GHz, 17.3"" Full HD, 32GB, SSHD 1TB + SSD 2 x 256GB, NVIDIA GeForce GTX 1070 8GB, Windows 10 Home"
Laptop ASUS ROG ZEPHYRUS GX501GI-EI006T,DA,1000 lei,12699.9 lei,"13.699,90 lei",In Stoc,https://altex.ro/laptop-asus-rog-zephyrus-gx501gi-ei006t-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-full-hd-24gb-ssd-512gb-nvidia-geforce-gtx-1080-8gb-windows-10/cpd/LAPGX501GIEI006/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" Full HD, 24GB, SSD 512GB, NVIDIA GeForce GTX 1080 8GB, Windows 10"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mr962ro/a",DA,1000 lei,12499.9 lei,"13.499,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mr962ro-a-intel-core-i7-pana-la-4-1ghz-16gb-256gb-amd-radeon-pro-555x-4gb-macos-sierra-argintiu-tastatura-layout-ro/cpd/LAPMR962ROA/,"Procesor Intel Core i7 pana la 4.1GHz, 16GB, 256GB, AMD Radeon Pro 555X 4GB, macOS Sierra, Argintiu - Tastatura layout RO"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mr932ro/a",DA,1000 lei,12499.9 lei,"13.499,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mr932ro-a-intel-core-i7-pana-la-4-1ghz-16gb-256gb-amd-radeon-pro-555x-4gb-macos-sierra-space-gray-tastatura-layout-ro/cpd/LAPMR932ROA/,"Procesor Intel Core i7 pana la 4.1GHz, 16GB, 256GB, AMD Radeon Pro 555X 4GB, macOS Sierra, Space Gray - Tastatura layout RO"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mr962ze/a",DA,1000 lei,12499.9 lei,"13.499,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mr962ze-a-intel-core-i7-pana-la-4-1ghz-16gb-256gb-amd-radeon-pro-555x-4gb-macos-sierra-argintiu-tastatura-layout-int/cpd/LAPMR962ZEA/,"Procesor Intel Core i7 pana la 4.1GHz, 16GB, 256GB, AMD Radeon Pro 555X 4GB, macOS Sierra, Argintiu - Tastatura layout INT"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mr932ze/a",DA,1000 lei,12499.9 lei,"13.499,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mr932ze-a-intel-core-i7-pana-la-4-1ghz-16gb-256gb-amd-radeon-pro-555x-4gb-macos-sierra-space-gray-tastatura-layout-int/cpd/LAPMR932ZEA/,"Procesor Intel Core i7 pana la 4.1GHz, 16GB, 256GB, AMD Radeon Pro 555X 4GB, macOS Sierra, Space Gray - Tastatura layout INT"
Laptop Gaming ASUS ROG G703GS-E5048T,NU,,11999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-asus-rog-g703gs-e5048t-intel-core-i7-8750h-pana-la-3-9ghz-17-3-full-hd-32gb-sshd-1tb-ssd-256gb-nvidia-geforce-gtx-1070-8gb-windows-10-home/cpd/LAPG703GSE5048T/,"Procesor Intel Core i7-8750H pana la 3.9GHz, 17.3"" Full HD, 32GB, SSHD 1TB + SSD 256GB, NVIDIA GeForce GTX 1070 8GB, Windows 10 Home"
Laptop Gaming MSI GT63 TITAN 8RG,DA,1500 lei,11999.9 lei,"13.499,90 lei",In Stoc,https://altex.ro/laptop-gaming-msi-gt63-titan-8rg-intel-core-i7-8750h-pana-la-4-1-ghz-15-6-full-hd-16gb-1tb-ssd-128gb-nvidia-geforce-gtx-1080-8gb-free-dos/cpd/LAPGT638RG/,"Procesor Intel Core i7-8750H pana la 4.1 GHz, 15.6"" Full HD, 16GB, 1TB + SSD 128GB, NVIDIA GeForce GTX 1080 8GB, Free Dos"
Laptop Gaming MSI P65 8RF,NU,,11999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-msi-p65-8rf-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-512gb-geforce-gtx-1070-8gb-windows-10-home/cpd/LAPP658RF/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 512GB, GeForce GTX 1070 8GB, Windows 10 Home"
Laptop ASUS ROG ZEPHYRUS GX501GI-EI009T,DA,1000 lei,11699.9 lei,"12.699,90 lei",In Stoc,https://altex.ro/laptop-asus-rog-zephyrus-gx501gi-ei009t-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-256gb-nvidia-geforce-gtx-1080-8gb-windows-10-home/cpd/LAPGX501GIEI009/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 256GB, NVIDIA GeForce GTX 1080 8GB, Windows 10 Home"
"Laptop APPLE MacBook Pro 15"" Retina Display si Touch Bar mptr2ro/a",DA,500 lei,11599.9 lei,"12.099,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-15-retina-display-si-touch-bar-mptr2ro-a-intelr-coretm-i7-pana-la-3-8ghz-16gb-256gb-amd-radeon-pro-555-2gb-macos-sierra-space-gray-tastatura-layout-ro/cpd/LAPMPTR2ROA/,"Procesor Intel® Core™ i7 pana la 3.8GHz, 16GB, 256GB, AMD Radeon Pro 555 2GB, macOS Sierra, Space Gray - Tastatura layout RO"
Laptop ASUS ROG ZEPHYRUS GM501GS-EI004T,NU,,10999.9 lei,,In Stoc,https://altex.ro/laptop-asus-rog-zephyrus-gm501gs-ei004t-intelr-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-sshd-1tb-ssd-512gb-nvidia-geforce-gtx-1070-8gb-windows-10-home/cpd/LAPGM501GSEI004/,"Procesor Intel® Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSHD 1TB + SSD 512GB, NVIDIA GeForce GTX 1070 8GB, Windows 10 Home"
